UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2015-06-05 , 	183.61
2015-06-06 , 	183.60
2015-06-07 , 	183.61
2015-06-08 , 	183.62
2015-06-09 , 	183.62
2015-06-10 , 	183.62
2015-06-11 , 	183.63
2015-06-12 , 	183.63
2015-06-13 , 	183.62
2015-06-14 , 	183.62
2015-06-15 , 	183.62
2015-06-16 , 	183.63
2015-06-17 , 	183.62
2015-06-18 , 	183.63
2015-06-19 , 	183.62
2015-06-20 , 	183.62
2015-06-21 , 	183.64
2015-06-22 , 	183.63
2015-06-23 , 	183.66
2015-06-24 , 	183.66
2015-06-25 , 	183.66
2015-06-26 , 	183.65
2015-06-27 , 	183.66
2015-06-28 , 	183.65
2015-06-29 , 	183.65
2015-06-30 , 	183.67
2015-07-01 , 	183.67
2015-07-02 , 	183.66
2015-07-03 , 	183.66
2015-07-04 , 	183.67
2015-07-05 , 	183.65
2015-07-06 , 	183.67
2015-07-07 , 	183.69
2015-07-08 , 	183.68
2015-07-09 , 	183.68
2015-07-10 , 	183.68
2015-07-11 , 	183.68
2015-07-12 , 	183.68
2015-07-13 , 	183.68
2015-07-14 , 	183.70
2015-07-15 , 	183.70
2015-07-16 , 	183.69
2015-07-17 , 	183.69
2015-07-18 , 	183.69
2015-07-19 , 	183.69
2015-07-20 , 	183.69
2015-07-21 , 	183.70
2015-07-22 , 	183.70
2015-07-23 , 	183.69
2015-07-24 , 	183.69
2015-07-25 , 	183.69
2015-07-26 , 	183.69
2015-07-27 , 	183.69
2015-07-28 , 	183.68
2015-07-29 , 	183.68
2015-07-30 , 	183.69
2015-07-31 , 	183.69
2015-08-01 , 	183.69
2015-08-02 , 	183.68
2015-08-03 , 	183.69
2015-08-04 , 	183.69
2015-08-05 , 	183.68
2015-08-06 , 	183.68
2015-08-07 , 	183.68
2015-08-08 , 	183.68
2015-08-09 , 	183.67
2015-08-10 , 	183.68
2015-08-11 , 	183.68
2015-08-12 , 	183.67
2015-08-13 , 	183.66
2015-08-14 , 	183.67
2015-08-15 , 	183.67
2015-08-16 , 	183.66
2015-08-17 , 	183.67
2015-08-18 , 	183.67
2015-08-19 , 	183.67
2015-08-20 , 	183.69
2015-08-21 , 	183.69
